Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Anthrax,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Anthrax,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Anthrax,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Anthrax,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Avian Influenza,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,Missing
Avian Influenza,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,Missing
Avian Influenza,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,Missing
Avian Influenza,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,Missing
Botulism,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Botulism,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,Missing
Botulism,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Botulism,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Brucellosis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Brucellosis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,Missing
Brucellosis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Brucellosis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Chancroid,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Chancroid,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Chancroid,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Chancroid,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Chickenpox,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Chickenpox,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Chickenpox,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Chickenpox,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Chikungunya,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Chikungunya,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Chikungunya,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Chikungunya,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Cholera,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Cholera,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Cholera,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Cholera,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Condyloma Acuminata,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Condyloma Acuminata,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Condyloma Acuminata,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Condyloma Acuminata,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
D.H.F.shock syndrome,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
D.H.F.shock syndrome,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
D.H.F.shock syndrome,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
D.H.F.shock syndrome,Missing,Missing,Missing,rate,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
D.H.F,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
D.H.F,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
D.H.F,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
D.H.F,Missing,Missing,Missing,rate,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Dengue fever,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Dengue fever,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Dengue fever,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Dengue fever,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Diphtheria,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Diphtheria,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Diphtheria,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Diphtheria,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
"Dysentery,Amoebic",Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
"Dysentery,Amoebic",Missing,Missing,Missing,ad,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
"Dysentery,Amoebic",Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
"Dysentery,Amoebic",Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
"Dysentery,Bacillary",Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
"Dysentery,Bacillary",Missing,Missing,Missing,ad,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
"Dysentery,Bacillary",Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
"Dysentery,Bacillary",Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Encephalitis uns,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing,ac,ac,ac,ac,ac,ac,Missing
Encephalitis uns,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Encephalitis uns,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Encephalitis uns,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Enterovirus Fever,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,Missing
Enterovirus Fever,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,Missing
Enterovirus Fever,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Enterovirus Fever,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,Missing
Eosinophilic Meningitis,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Eosinophilic Meningitis,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Eosinophilic Meningitis,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Eosinophilic Meningitis,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Filariasis,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Filariasis,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Filariasis,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Filariasis,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Food_Poisoning,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Food_Poisoning,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Food_Poisoning,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Food_Poisoning,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Genital Herpes Simplex,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Genital Herpes Simplex,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Genital Herpes Simplex,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Genital Herpes Simplex,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Genital Molluscum Contagiosum,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,Missing
Genital Molluscum Contagiosum,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,Missing
Genital Molluscum Contagiosum,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Genital Molluscum Contagiosum,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,Missing
Gonorrhoea,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Gonorrhoea,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Gonorrhoea,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Gonorrhoea,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
HepatitisA,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
HepatitisA,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
HepatitisA,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
HepatitisA,Missing,Missing,Missing,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
HepatitisB,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
HepatitisB,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
HepatitisB,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
HepatitisB,Missing,Missing,Missing,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
HepatitisC,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
HepatitisC,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
HepatitisC,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
HepatitisC,Missing,Missing,Missing,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
HepatitisD,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
HepatitisD,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
HepatitisD,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
HepatitisD,Missing,Missing,Missing,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
HepatitisE,Missing,Missing,Missing,ac,ac,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
HepatitisE,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
HepatitisE,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
HepatitisE,Missing,Missing,Missing,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Hepatitis_uns,Missing,Missing,Missing,Missing,ac,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
Hepatitis_uns,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Hepatitis_uns,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
HFM,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
HFM,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
HFM,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
HFM,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Influenza,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Influenza,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Influenza,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Influenza,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Japanese B encephalitis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,Missing
Japanese B encephalitis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,Missing
Japanese B encephalitis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Japanese B encephalitis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,Missing
Kala azar,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Kala azar,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Kala azar,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
