Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Kala azar,Missing,Missing,Missing,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
L.G.V.&other&unsp.V.D,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
L.G.V.&other&unsp.V.D,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
L.G.V.&other&unsp.V.D,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
L.G.V.&other&unsp.V.D,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Leprosy,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Leprosy,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Leprosy,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Leprosy,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Leptospirosis,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Leptospirosis,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Leptospirosis,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Leptospirosis,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Liver fluke,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Liver fluke,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Liver fluke,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Liver fluke,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Malaria,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Malaria,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Malaria,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Malaria,Missing,Missing,Missing,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Measles c Complication,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Measles c Complication,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
Measles c Complication,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Measles c Complication,Missing,Missing,Missing,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Measles,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Measles,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Measles,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Measles,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Melioidosis,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Melioidosis,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Melioidosis,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Melioidosis,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
"Meningitis,uns",Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
"Meningitis,uns",Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
"Meningitis,uns",Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
"Meningitis,uns",Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Meningococcal Meningitis,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Meningococcal Meningitis,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Meningococcal Meningitis,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Meningococcal Meningitis,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Mumps,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Mumps,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Mumps,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Mumps,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Mushroom poisoning,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Mushroom poisoning,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Mushroom poisoning,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Mushroom poisoning,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
N.S.U._V,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
N.S.U._V,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
N.S.U._V,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
N.S.U._V,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Other STI,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Other STI,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Other STI,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Other STI,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Paratyphoid,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Paratyphoid,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Paratyphoid,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Paratyphoid,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Pediculosis Pubis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,Missing
Pediculosis Pubis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,Missing
Pediculosis Pubis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Pediculosis Pubis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,Missing
Pertussis,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Pertussis,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Pertussis,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Pertussis,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Pneumonia,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Pneumonia,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Pneumonia,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Pneumonia,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Poliomyelitis,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Poliomyelitis,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Poliomyelitis,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Poliomyelitis,Missing,Missing,Missing,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Pulmonary T.B,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Pulmonary T.B,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Pulmonary T.B,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Pulmonary T.B,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Rabies,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Rabies,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Rabies,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Rabies,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Rubella,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Rubella,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Rubella,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Rubella,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Scarlet fever,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Scarlet fever,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Scarlet fever,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Scarlet fever,Missing,Missing,Missing,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Scrub Typhus,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Scrub Typhus,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Scrub Typhus,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Scrub Typhus,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Streptococcus suis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Streptococcus suis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,Missing
Streptococcus suis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Streptococcus suis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Syphilis,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Syphilis,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Syphilis,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Syphilis,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
T.B. other organs,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
T.B. other organs,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
T.B. other organs,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
T.B. other organs,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
T.B.meningitis,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
T.B.meningitis,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
T.B.meningitis,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
T.B.meningitis,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Tetanus exc.Neo,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Tetanus exc.Neo,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Tetanus exc.Neo,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Tetanus exc.Neo,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Tetanus neonatorum,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Tetanus neonatorum,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Tetanus neonatorum,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Tetanus neonatorum,Missing,Missing,Missing,rate,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Trichinosis,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Trichinosis,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Trichinosis,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Trichinosis,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Typhoid,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,ac,Missing
Typhoid,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,Missing
Typhoid,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Typhoid,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,rate,Missing
Vaginal trichomoniasis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,Missing
Vaginal trichomoniasis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,Missing
Vaginal trichomoniasis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Vaginal trichomoniasis,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,Missing
Zika virus,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ac,ac,ac,ac,ac,ac,Missing
Zika virus,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,ad,ad,ad,ad,ad,ad,Missing
Zika virus,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,mcd,mcd,mcd,mcd,mcd,mcd,Missing
Zika virus,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,rate,rate,rate,rate,rate,rate,Missing
