จังหวัด-value,จังหวัด-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,AGG(# ลักษณะจำนวน)-alias,disease_copy_alias,disease_value
อุบลราชธานี,อุบลราชธานี,15.1558,15.16,105.1026,105.103,0,,
อุทัยธานี,อุทัยธานี,15.3707,15.37,99.5595,99.560,0,,
อุตรดิตถ์,อุตรดิตถ์,17.7591,17.76,100.4466,100.447,0,,
อุดรธานี,อุดรธานี,17.4469,17.45,102.8325,102.833,0,,
อำนาจเจริญ,อำนาจเจริญ,15.9103,15.91,104.7302,104.730,0,,
อ่างทอง,อ่างทอง,14.6212,14.62,100.3511,100.351,1,,
หนองบัวลำภู,หนองบัวลำภู,17.2263,17.23,102.307,102.307,0,,
หนองคาย,หนองคาย,17.9655,17.97,103.1681,103.168,0,,
สุรินทร์,สุรินทร์,14.9046,14.90,103.6637,103.664,1,,
สุราษฎร์ธานี,สุราษฎร์ธานี,9.0166,9.02,99.1137,99.114,10,,
สุพรรณบุรี,สุพรรณบุรี,14.5719,14.57,100.0031,100.003,0,,
สุโขทัย,สุโขทัย,17.2525,17.25,99.7086,99.709,1,,
สิงห์บุรี,สิงห์บุรี,14.9207,14.92,100.3027,100.303,1,,
สระบุรี,สระบุรี,14.6584,14.66,100.9117,100.912,0,,
สระแก้ว,สระแก้ว,13.7156,13.72,102.2775,102.278,0,,
สมุทรสาคร,สมุทรสาคร,13.5734,13.57,100.2131,100.213,0,,
สมุทรสงคราม,สมุทรสงคราม,13.3785,13.38,99.9529,99.953,0,,
สมุทรปราการ,สมุทรปราการ,13.5985,13.60,100.7619,100.762,2,,
สตูล,สตูล,6.8093,6.81,100.0213,100.021,0,,
สงขลา,สงขลา,6.8002,6.80,100.6157,100.616,0,,
สกลนคร,สกลนคร,17.4316,17.43,103.6574,103.657,0,,
ศรีสะเกษ,ศรีสะเกษ,14.9566,14.96,104.3257,104.326,0,,
เลย,เลย,17.4865,17.49,101.6439,101.644,0,,
ลำพูน,ลำพูน,18.069,18.07,98.9398,98.940,0,,
ลำปาง,ลำปาง,18.3151,18.32,99.5407,99.541,0,,
ลพบุรี,ลพบุรี,15.1988,15.20,100.9786,100.979,0,,
ราชบุรี,ราชบุรี,13.5547,13.55,99.6119,99.612,0,,
ระยอง,ระยอง,12.8734,12.87,101.4439,101.444,0,,
ระนอง,ระนอง,10.0475,10.05,98.7677,98.768,0,,
ร้อยเอ็ด,ร้อยเอ็ด,15.9393,15.94,103.7573,103.757,0,,
ยะลา,ยะลา,6.1478,6.15,101.2366,101.237,1,,
ยโสธร,ยโสธร,15.8189,15.82,104.2734,104.273,0,,
แม่ฮ่องสอน,แม่ฮ่องสอน,18.7278,18.73,97.9293,97.929,0,,
มุกดาหาร,มุกดาหาร,16.5417,16.54,104.4802,104.480,0,,
มหาสารคาม,มหาสารคาม,16.0264,16.03,103.1766,103.177,0,,
ภูเก็ต,ภูเก็ต,7.9792,7.98,98.3354,98.335,1,,
แพร่,แพร่,18.2612,18.26,100.1642,100.164,0,,
เพชรบูรณ์,เพชรบูรณ์,16.2505,16.25,101.038,101.038,0,,
เพชรบุรี,เพชรบุรี,12.9526,12.95,99.615,99.615,0,,
พิษณุโลก,พิษณุโลก,17.0334,17.03,100.5361,100.536,0,,
พิจิตร,พิจิตร,16.2863,16.29,100.343,100.343,1,,
พัทลุง,พัทลุง,7.4931,7.49,100.0239,100.024,0,,
พังงา,พังงา,8.7393,8.74,98.419,98.419,1,,
พะเยา,พะเยา,19.2706,19.27,100.1549,100.155,0,,
พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.3925,14.39,100.5363,100.536,2,,
ปัตตานี,ปัตตานี,6.7508,6.75,101.3217,101.322,0,,
ปราจีนบุรี,ปราจีนบุรี,14.0224,14.02,101.5734,101.573,0,,
ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.8015,11.80,99.7248,99.725,0,,
ปทุมธานี,ปทุมธานี,14.0966,14.10,100.6276,100.628,1,,
บุรีรัมย์,บุรีรัมย์,14.9638,14.96,103.0636,103.064,0,,
บึงกาฬ,บึงกาฬ,18.1758,18.18,103.6605,103.661,0,,
น่าน,น่าน,18.8276,18.83,100.7959,100.796,0,,
นราธิวาส,นราธิวาส,6.1836,6.18,101.7328,101.733,0,,
นนทบุรี,นนทบุรี,13.9646,13.96,100.3833,100.383,0,,
นครสวรรค์,นครสวรรค์,15.6249,15.62,100.3811,100.381,1,,
นครศรีธรรมราช,นครศรีธรรมราช,8.5802,8.58,99.719,99.719,2,,
นครราชสีมา,นครราชสีมา,14.966,14.97,102.0706,102.071,14,,
นครพนม,นครพนม,17.407,17.41,104.6013,104.601,0,,
นครปฐม,นครปฐม,13.9141,13.91,100.0973,100.097,0,,
นครนายก,นครนายก,14.2366,14.24,101.1628,101.163,0,,
ตาก,ตาก,16.5288,16.53,98.8911,98.891,0,,
ตราด,ตราด,12.2035,12.20,102.4186,102.419,0,,
ตรัง,ตรัง,7.5629,7.56,99.5565,99.557,0,,
เชียงใหม่,เชียงใหม่,18.7004,18.70,98.6186,98.619,0,,
เชียงราย,เชียงราย,19.7341,19.73,99.8857,99.886,0,,
ชุมพร,ชุมพร,10.3175,10.32,99.0359,99.036,0,,
ชัยภูมิ,ชัยภูมิ,16.0318,16.03,101.8278,101.828,3,,
ชัยนาท,ชัยนาท,15.1598,15.16,100.0348,100.035,0,,
ชลบุรี,ชลบุรี,13.0932,13.09,101.2253,101.225,0,,
ฉะเชิงเทรา,ฉะเชิงเทรา,13.5782,13.58,101.5642,101.564,1,,
จันทบุรี,จันทบุรี,12.821,12.82,102.1738,102.174,1,,
ขอนแก่น,ขอนแก่น,16.3615,16.36,102.6764,102.676,0,,
กำแพงเพชร,กำแพงเพชร,16.3854,16.39,99.504,99.504,0,,
กาฬสินธุ์,กาฬสินธุ์,16.6423,16.64,103.6746,103.675,0,,
กาญจนบุรี,กาญจนบุรี,14.6947,14.69,99.0766,99.077,0,,
กรุงเทพมหานคร,กรุงเทพมหานคร,13.7249,13.72,100.6034,100.603,4,,
กระบี่,กระบี่,8.1653,8.17,99.0189,99.019,0,,
